Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes,Vote Share (%)
59007,Columbia--Kootenay--Southern Rockies,Kallee Lins,NDP-New Democratic Party,12871,18.0
59007,Columbia--Kootenay--Southern Rockies,Laurie Baird,People's Party - PPC,486,0.7
59007,Columbia--Kootenay--Southern Rockies,Reggie Goldsbury,Liberal,20184,28.2
59007,Columbia--Kootenay--Southern Rockies,Rob Morrison,Conservative,36081,50.4
59007,Columbia--Kootenay--Southern Rockies,Steven Maffioli,Green Party,1064,1.5
59008,Coquitlam--Port Coquitlam,Iain Black,Conservative,24730,43.0
59008,Coquitlam--Port Coquitlam,Laura Dupont,NDP-New Democratic Party,4253,7.4
59008,Coquitlam--Port Coquitlam,Lewis Clarke Dahlby,Libertarian,785,1.4
59008,Coquitlam--Port Coquitlam,Michael Peter Glenister,Green Party,504,0.9
59008,Coquitlam--Port Coquitlam,Ron McKinnon,Liberal,27250,47.4
59009,Courtenay--Alberni,Brian Cameron,Liberal,18078,22.7
59009,Courtenay--Alberni,Chris Markevich,Green Party,1352,1.7
59009,Courtenay--Alberni,Gord Johns,NDP-New Democratic Party,31617,39.6
59009,Courtenay--Alberni,Jesse Musial,Christian Heritage Party,69,0.1
59009,Courtenay--Alberni,Kris McNichol,Conservative,28028,35.1
59009,Courtenay--Alberni,Teresa Knight,Animal Protection Party,195,0.2
59009,Courtenay--Alberni,Thomas Gamble,People's Party - PPC,427,0.5
59010,Cowichan--Malahat--Langford,Alistair MacGregor,NDP-New Democratic Party,24826,32.6
59010,Cowichan--Malahat--Langford,Blair Herbert,Liberal,21478,28.2
59010,Cowichan--Malahat--Langford,Jeff Kibble,Conservative,28370,37.2
59010,Cowichan--Malahat--Langford,Kathleen Code,Green Party,1500,2.0
59011,Delta,Jason McCormick,NDP-New Democratic Party,2787,4.4
59011,Delta,Jessy Sahota,Conservative,27314,43.2
59011,Delta,Jill McKnight,Liberal,32802,51.8
59011,Delta,Natasa Sirotic,People's Party - PPC,390,0.6
59012,Esquimalt--Saanich--Sooke,Ben Homer-Dixon,Green Party,1959,2.7
59012,Esquimalt--Saanich--Sooke,David Schaafsma,Christian Heritage Party,159,0.2
59012,Esquimalt--Saanich--Sooke,Grant Cool,Conservative,21082,28.7
59012,Esquimalt--Saanich--Sooke,Maja Tait,NDP-New Democratic Party,13666,18.6
59012,Esquimalt--Saanich--Sooke,Param Bhatti,Independent,152,0.2
59012,Esquimalt--Saanich--Sooke,Robert Crooks,Communist,136,0.2
59012,Esquimalt--Saanich--Sooke,Stephanie McLean,Liberal,36181,49.3
59013,Fleetwood--Port Kells,Gurbux Saini,Liberal,23250,47.9
59013,Fleetwood--Port Kells,John Hetherington,People's Party - PPC,499,1.0
59013,Fleetwood--Port Kells,Murali Krishnan,Green Party,460,0.9
59013,Fleetwood--Port Kells,Shannon Permal,NDP-New Democratic Party,2885,5.9
59013,Fleetwood--Port Kells,Sukh Pandher,Conservative,21439,44.2
59014,Kamloops--Shuswap--Central Rockies,John Michael Henry,People's Party - PPC,602,0.9
59014,Kamloops--Shuswap--Central Rockies,Ken Robertson,Liberal,26529,39.0
59014,Kamloops--Shuswap--Central Rockies,Mel Arnold,Conservative,35556,52.2
59014,Kamloops--Shuswap--Central Rockies,Owen Madden,Green Party,1639,2.4
59014,Kamloops--Shuswap--Central Rockies,Phaedra Idzan,NDP-New Democratic Party,3730,5.5
59015,Kamloops--Thompson--Nicola,Chris Enns,People's Party - PPC,516,0.8
59015,Kamloops--Thompson--Nicola,Frank Caputo,Conservative,32008,51.5
59015,Kamloops--Thompson--Nicola,Iain Currie,Liberal,24961,40.2
59015,Kamloops--Thompson--Nicola,Jenna Lindley,Green Party,936,1.5
59015,Kamloops--Thompson--Nicola,Miguel Godau,NDP-New Democratic Party,3681,5.9
59016,Kelowna,Catriona Wright,Green Party,578,1.0
59016,Kelowna,Stephen Fuhr,Liberal,28702,48.8
59016,Kelowna,Tracy Gray,Conservative,27620,46.9
59016,Kelowna,Trevor McAleese,NDP-New Democratic Party,1941,3.3
59017,Langley Township--Fraser Heights,Alex Joehl,Libertarian,347,0.5
59017,Langley Township--Fraser Heights,Debora Soutar,Green Party,491,0.8
59017,Langley Township--Fraser Heights,Holly Isaac,NDP-New Democratic Party,2611,4.0
59017,Langley Township--Fraser Heights,John Aldag,Liberal,28034,42.9
59017,Langley Township--Fraser Heights,Sepehr Haghighat,People's Party - PPC,303,0.5
59017,Langley Township--Fraser Heights,Tako Van Popta,Conservative,33574,51.4
59018,Mission--Matsqui--Abbotsford,Brad Vis,Conservative,33791,56.7
59018,Mission--Matsqui--Abbotsford,Jeff Howe,Liberal,21838,36.6
59018,Mission--Matsqui--Abbotsford,John Kidder,Green Party,723,1.2
59018,Mission--Matsqui--Abbotsford,Jules Côté,NDP-New Democratic Party,2745,4.6
59018,Mission--Matsqui--Abbotsford,Kevin Sinclair,People's Party - PPC,502,0.8
59019,Nanaimo--Ladysmith,Lisa Marie Barron,NDP-New Democratic Party,13586,18.3
59019,Nanaimo--Ladysmith,Michelle Corfield,Liberal,20656,27.8
59019,Nanaimo--Ladysmith,Paul Manly,Green Party,13485,18.1
59019,Nanaimo--Ladysmith,Stephen Welton,People's Party - PPC,289,0.4
59019,Nanaimo--Ladysmith,Tamara Kronis,Conservative,26381,35.5
59020,New Westminster--Burnaby--Maillardville,Indy Panchi,Conservative,17507,31.4
59020,New Westminster--Burnaby--Maillardville,Jake Sawatzky,Liberal,19547,35.1
59020,New Westminster--Burnaby--Maillardville,Lourence Almonte Singh,Independent,385,0.7
59020,New Westminster--Burnaby--Maillardville,Peter Julian,NDP-New Democratic Party,17574,31.5
59020,New Westminster--Burnaby--Maillardville,Tara Shushtarian,Green Party,690,1.2
59021,North Island--Powell River,Aaron Gunn,Conservative,31356,38.7
59021,North Island--Powell River,Glen Staples,Independent,152,0.2
59021,North Island--Powell River,Jennifer Lash,Liberal,21218,26.2
59021,North Island--Powell River,Jessica Wegg,Green Party,1505,1.9
59021,North Island--Powell River,Paul Macknight,People's Party - PPC,341,0.4
59021,North Island--Powell River,Tanille Johnston,NDP-New Democratic Party,26357,32.6
59022,North Vancouver--Capilano,Andrew Robinson,Green Party,1076,1.7
59022,North Vancouver--Capilano,Ehsan Arjmand,People's Party - PPC,256,0.4
59022,North Vancouver--Capilano,Jonathan Wilkinson,Liberal,37907,59.8
59022,North Vancouver--Capilano,Oliver King,Independent,102,0.2
59022,North Vancouver--Capilano,Stephen Curran,Conservative,21339,33.7
59022,North Vancouver--Capilano,Tammy Bentz,NDP-New Democratic Party,2684,4.2
59023,Okanagan Lake West--South Kelowna,Dan Albas,Conservative,33219,50.9
59023,Okanagan Lake West--South Kelowna,Debbie Robinson,People's Party - PPC,307,0.5
59023,Okanagan Lake West--South Kelowna,Gary Suddard,Canadian Future Party,90,0.1
59023,Okanagan Lake West--South Kelowna,Harpreet Badohal,NDP-New Democratic Party,2189,3.4
59023,Okanagan Lake West--South Kelowna,Juliette Sicotte,Liberal,28827,44.2
59023,Okanagan Lake West--South Kelowna,Louise Lecouffe,Green Party,602,0.9
59024,Pitt Meadows--Maple Ridge,Angie Rowell,Liberal,30728,45.6
59024,Pitt Meadows--Maple Ridge,Chris Lehner,People's Party - PPC,368,0.5
59024,Pitt Meadows--Maple Ridge,Daniel Heydenrych,NDP-New Democratic Party,4141,6.2
59024,Pitt Meadows--Maple Ridge,Marc Dalton,Conservative,31924,47.4
59024,Pitt Meadows--Maple Ridge,Peter Buddle,Parti Rhinocéros Party,172,0.3
59025,Port Moody--Coquitlam,Bonita Zarrillo,NDP-New Democratic Party,9360,15.0
59025,Port Moody--Coquitlam,Nash Milani,Green Party,519,0.8
59025,Port Moody--Coquitlam,Paul Lambert,Conservative,25126,40.4
59025,Port Moody--Coquitlam,Roland Verrier,Marxist-Leninist,117,0.2
59025,Port Moody--Coquitlam,Zoe Royer,Liberal,27074,43.5
59026,Prince George--Peace River--Northern Rockies,Bob Zimmer,Conservative,41956,71.1
59026,Prince George--Peace River--Northern Rockies,Cory Grizz Longley,NDP-New Democratic Party,3542,6.0
59026,Prince George--Peace River--Northern Rockies,David Watson,People's Party - PPC,690,1.2
59026,Prince George--Peace River--Northern Rockies,Mary Forbes,Green Party,1259,2.1
59026,Prince George--Peace River--Northern Rockies,Peter Njenga,Liberal,11545,19.6
59027,Richmond Centre--Marpole,Chak Au,Conservative,23532,49.6
59027,Richmond Centre--Marpole,David Wang,People's Party - PPC,193,0.4
59027,Richmond Centre--Marpole,Martin Li,NDP-New Democratic Party,2109,4.4
59027,Richmond Centre--Marpole,Michael Sisler,Green Party,420,0.9
59027,Richmond Centre--Marpole,Wilson Miao,Liberal,21232,44.7
59028,Richmond East--Steveston,Keefer Pelech,NDP-New Democratic Party,2251,4.2
59028,Richmond East--Steveston,Parm Bains,Liberal,25705,48.4
59028,Richmond East--Steveston,Steven Ji,Green Party,494,0.9
59028,Richmond East--Steveston,Zach Segal,Conservative,24605,46.4
59029,Saanich--Gulf Islands,Cathie Ounsted,Conservative,20015,25.1
59029,Saanich--Gulf Islands,Colin Plant,NDP-New Democratic Party,3163,4.0
59029,Saanich--Gulf Islands,David Beckham,Liberal,25409,31.8
59029,Saanich--Gulf Islands,Elizabeth May,Green Party,31199,39.1
59030,Similkameen--South Okanagan--West Kootenay,Barry Dewar,People's Party - PPC,654,1.0
59030,Similkameen--South Okanagan--West Kootenay,Gloria Morgan,Liberal,25431,37.3
59030,Similkameen--South Okanagan--West Kootenay,Helena Konanz,Conservative,30054,44.1
59030,Similkameen--South Okanagan--West Kootenay,Linda Sankey,NDP-New Democratic Party,11033,16.2
59030,Similkameen--South Okanagan--West Kootenay,Philip Mansfield,Green Party,1044,1.5
59031,Skeena--Bulkley Valley,Adeana Young,Green Party,528,1.2
59031,Skeena--Bulkley Valley,Ellis Ross,Conservative,21202,47.2
59031,Skeena--Bulkley Valley,Inderpal Dhillon,Liberal,4923,11.0
59031,Skeena--Bulkley Valley,Rod Taylor,Christian Heritage Party,602,1.3
59031,Skeena--Bulkley Valley,Taylor Bachrach,NDP-New Democratic Party,17677,39.3
59032,South Surrey--White Rock,Christine Kinnie,Green Party,875,1.3
59032,South Surrey--White Rock,Ernie Klassen,Liberal,33094,50.5
59032,South Surrey--White Rock,Jureun Park,NDP-New Democratic Party,1634,2.5
59032,South Surrey--White Rock,Kerry-Lynne Findlay,Conservative,29924,45.7
59033,Surrey Centre,Beverly Tanchak,People's Party - PPC,246,0.6
59033,Surrey Centre,Dominic Denofrio,NDP-New Democratic Party,2811,6.8
59033,Surrey Centre,Krishan Khurana,Green Party,395,1.0
59033,Surrey Centre,Rajvir Dhillon,Conservative,17920,43.2
59033,Surrey Centre,Randeep Sarai,Liberal,19900,48.0
59033,Surrey Centre,Ryan Abbott,Communist,182,0.4
59034,Surrey Newton,Harjit Singh Gill,Conservative,18023,44.0
59034,Surrey Newton,Raj Singh Toor,NDP-New Democratic Party,2467,6.0
59034,Surrey Newton,Salman Zafar,Communist,222,0.5
59034,Surrey Newton,Sukh Dhaliwal,Liberal,20263,49.5
59035,Vancouver Centre,Avi Lewis,NDP-New Democratic Party,6807,12.6
59035,Vancouver Centre,Christopher Varga,People's Party - PPC,211,0.4
59035,Vancouver Centre,Drew William McPherson,Independent,63,0.1
59035,Vancouver Centre,Elaine Allan,Conservative,16368,30.3
59035,Vancouver Centre,Hedy Fry,Liberal,29855,55.2
59035,Vancouver Centre,Scott MacDonald,Green Party,757,1.4
59036,Vancouver East,Jenny Kwan,NDP-New Democratic Party,24945,43.6
59036,Vancouver East,Kimball Cariou,Communist,329,0.6
59036,Vancouver East,Lita Cabal,Conservative,10162,17.8
59036,Vancouver East,Mark Wiens,Liberal,20287,35.5
59036,Vancouver East,Meghan Emily Murphy,People's Party - PPC,329,0.6
59036,Vancouver East,Nikida Steel,Green Party,1099,1.9
59037,Vancouver Fraserview--South Burnaby,Alexander Dow,Green Party,658,1.3
59037,Vancouver Fraserview--South Burnaby,Avi Nayyar,Conservative,18500,35.7
59037,Vancouver Fraserview--South Burnaby,Desiderio Magtanggol 'Bonn' Reyes,People's Party - PPC,482,0.9
59037,Vancouver Fraserview--South Burnaby,Gregor Robertson,Liberal,27117,52.3
59037,Vancouver Fraserview--South Burnaby,Manoj Bhangu,NDP-New Democratic Party,5088,9.8
59038,Vancouver Granville,Jerry Kroll,Green Party,945,1.6
59038,Vancouver Granville,Marie Rogers,Conservative,17133,28.8
59038,Vancouver Granville,Sukhi Singh Sahota,NDP-New Democratic Party,4489,7.5
59038,Vancouver Granville,Taleeb Noormohamed,Liberal,37010,62.1
59039,Vancouver Kingsway,Amy K. Gill,Liberal,18485,36.6
59039,Vancouver Kingsway,Don Davies,NDP-New Democratic Party,18788,37.2
59039,Vancouver Kingsway,Fiona Wang,People's Party - PPC,322,0.6
59039,Vancouver Kingsway,Imtiaz Popat,Green Party,499,1.0
59039,Vancouver Kingsway,Ravinder Bhatia,Conservative,12352,24.5
59040,Vancouver Quadra,Alim Fakirani,NDP-New Democratic Party,2391,4.3
59040,Vancouver Quadra,John Odan Ede,People's Party - PPC,182,0.3
59040,Vancouver Quadra,Ken Charko,Conservative,17008,30.4
59040,Vancouver Quadra,Tom Digby,Green Party,1032,1.8
59040,Vancouver Quadra,Wade Grant,Liberal,35384,63.2
59041,Vernon--Lake Country--Monashee,Anna Warwick Sears,Liberal,28769,42.8
59041,Vernon--Lake Country--Monashee,Blair Visscher,Green Party,1105,1.6
59041,Vernon--Lake Country--Monashee,Leah Ellen Main,NDP-New Democratic Party,3417,5.1
59041,Vernon--Lake Country--Monashee,Scott Anderson,Conservative,33850,50.4
59042,Victoria,Angus Ross,Conservative,12870,17.0
59042,Victoria,Cody Fraser,Parti Rhinocéros Party,109,0.1
59042,Victoria,David Mohr,People's Party - PPC,278,0.4
59042,Victoria,Laurel Collins,NDP-New Democratic Party,18877,24.9
59042,Victoria,Mary Moreau,Christian Heritage Party,83,0.1
59042,Victoria,Michael Doherty,Green Party,2350,3.1
59042,Victoria,Steve Filipovic,Independent,73,0.1
59042,Victoria,Will Greaves,Liberal,41128,54.3
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Gordon Jeffrey,Parti Rhinocéros Party,99,0.2
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Jäger Rosenberg,NDP-New Democratic Party,2070,3.2
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Keith Roy,Conservative,21181,33.0
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Lauren Greenlaw,Green Party,2205,3.4
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Patrick Weiler,Liberal,38384,59.7
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Peyman Askari,People's Party - PPC,308,0.5
60001,Yukon,Brendan Hanley,Liberal,12009,53.1
60001,Yukon,Gabrielle Dupont,Green Party,474,2.1
60001,Yukon,Katherine McCallum,NDP-New Democratic Party,1434,6.3
60001,Yukon,Ryan Leef,Conservative,8719,38.5
61001,Northwest Territories,Kelvin Kotchilea,NDP-New Democratic Party,2011,12.2
61001,Northwest Territories,Kimberly Fairman,Conservative,5513,33.3
61001,Northwest Territories,Rainbow Eyes,Green Party,170,1.0
61001,Northwest Territories,Rebecca Alty,Liberal,8855,53.5
62001,Nunavut,James T. Arreak,Conservative,1992,26.0
62001,Nunavut,Kilikvak Kabloona,Liberal,2812,36.7
62001,Nunavut,Lori Idlout,NDP-New Democratic Party,2853,37.3
