Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
35020,Carleton,Samuel Lafontaine,Independent,3
35020,Carleton,Sana Ahmad,Independent,41
35020,Carleton,Sarah Burke,Independent,27
35020,Carleton,Sarah Thompson,Independent,9
35020,Carleton,Scott Falkingham,Independent,45
35020,Carleton,Seyed Hosseini Lavasani,Independent,13
35020,Carleton,Shawn MacEachern,Canadian Future Party,63
35020,Carleton,Sheri Oberman,Independent,2
35020,Carleton,Sophie Bearden,Independent,14
35020,Carleton,Spencer Rocchi,Independent,4
35020,Carleton,Sébastien CoRhino,Parti Rhinocéros Party,31
35020,Carleton,Tetia Bayoro,Independent,5
35020,Carleton,Trevor Holsworth,Independent,3
35020,Carleton,Wallace Richard Rowat,Independent,2
35020,Carleton,Winston Neutel,Independent,5
35020,Carleton,Yogo Shimada,Independent,3
35020,Carleton,Ysack Dupont,No Affiliation,0
35020,Carleton,Zornitsa Halacheva,Independent,2
35021,Chatham-Kent--Leamington,Dave Epp,Conservative,41612
35021,Chatham-Kent--Leamington,James Plunkett,Green Party,757
35021,Chatham-Kent--Leamington,Keith Pickard,Liberal,25978
35021,Chatham-Kent--Leamington,Seamus McInnis Fleming,NDP-New Democratic Party,2943
35021,Chatham-Kent--Leamington,Trevor Lee,People's Party - PPC,1061
35022,Davenport,Dave McKee,Communist,387
35022,Davenport,Francis Lavoie,Conservative,14189
35022,Davenport,Julie Dzerowicz,Liberal,35364
35022,Davenport,Lilian Barrera,Green Party,782
35022,Davenport,Sandra Sousa,NDP-New Democratic Party,10452
35023,Don Valley North,Andrew Armstrong,Green Party,448
35023,Don Valley North,Ivan Milivojevic,People's Party - PPC,260
35023,Don Valley North,Joe Tay,Conservative,20546
35023,Don Valley North,Maggie Chi,Liberal,25822
35023,Don Valley North,Naila Saeed,NDP-New Democratic Party,1191
35023,Don Valley North,Xiaohua Gong,No Affiliation,260
35024,Don Valley West,Bahira Abdulsalam,Independent,442
35024,Don Valley West,Linnea Löfström-Abary,NDP-New Democratic Party,1382
35024,Don Valley West,Rob Oliphant,Liberal,36744
35024,Don Valley West,Robert Pierce,Conservative,19480
35024,Don Valley West,Sheena Sharp,Green Party,616
35025,Dufferin--Caledon,Dympna Carolan,People's Party - PPC,752
35025,Dufferin--Caledon,Ifra Baig,Green Party,927
35025,Dufferin--Caledon,Jeffrey Halsall,Independent,260
35025,Dufferin--Caledon,Kyle Seeback,Conservative,42458
35025,Dufferin--Caledon,Malalai Halimi,Liberal,24818
35025,Dufferin--Caledon,Viktor Karklins,NDP-New Democratic Party,1380
35026,Eglinton--Lawrence,Allison Tanzola,NDP-New Democratic Party,996
35026,Eglinton--Lawrence,Karen Stintz,Conservative,29061
35026,Eglinton--Lawrence,Timothy Gleeson,People's Party - PPC,326
35026,Eglinton--Lawrence,Vince Gasparro,Liberal,29949
35026,Eglinton--Lawrence,Wayne Chechuevskiy,Green Party,429
35027,Elgin--St. Thomas--London South,Andrew Lawton,Conservative,32565
35027,Elgin--St. Thomas--London South,David Goodwin,Liberal,28010
35027,Elgin--St. Thomas--London South,Paul Pighin,NDP-New Democratic Party,3118
35027,Elgin--St. Thomas--London South,Stephen Campbell,People's Party - PPC,1256
35028,Essex,Chris Lewis,Conservative,46123
35028,Essex,Chris Sutton,Liberal,29389
35028,Essex,Jason A. E. Henry,People's Party - PPC,843
35028,Essex,Lori Wightman,NDP-New Democratic Party,3826
35029,Etobicoke Centre,Ji Won Jung,NDP-New Democratic Party,1611
35029,Etobicoke Centre,Ted Opitz,Conservative,29713
35029,Etobicoke Centre,Yvan Baker,Liberal,36186
35030,Etobicoke--Lakeshore,Bernard Trottier,Conservative,25348
35030,Etobicoke--Lakeshore,Cory Wagar,NDP-New Democratic Party,1665
35030,Etobicoke--Lakeshore,James Maloney,Liberal,37512
35030,Etobicoke--Lakeshore,Janice Murray,Marxist-Leninist,197
35030,Etobicoke--Lakeshore,Thomas Fanjoy,People's Party - PPC,616
35031,Etobicoke North,Andy D'Andrea,People's Party - PPC,846
35031,Etobicoke North,Benjamin Abis,NDP-New Democratic Party,1354
35031,Etobicoke North,John Zerucelli,Liberal,22270
35031,Etobicoke North,Natalie Weed,Conservative,17359
35031,Etobicoke North,Neil Simon,Independent,132
35031,Etobicoke North,Sarun Balaranjan,Green Party,394
35032,Flamborough--Glanbrook--Brant North,Anita Payne,Green Party,594
35032,Flamborough--Glanbrook--Brant North,Chuck Phillips,Liberal,28915
35032,Flamborough--Glanbrook--Brant North,Dan Muys,Conservative,35246
35032,Flamborough--Glanbrook--Brant North,Nikita Mahood,People's Party - PPC,499
35032,Flamborough--Glanbrook--Brant North,Peter Werhun,NDP-New Democratic Party,1630
35033,Guelph,Anne-Marie Zajdlik,Green Party,6779
35033,Guelph,Dominique O'Rourke,Liberal,36406
35033,Guelph,Elaine Baetz,Marxist-Leninist,132
35033,Guelph,Gurvir Khaira,Conservative,20470
35033,Guelph,Janice Folk-Dawson,NDP-New Democratic Party,2129
35033,Guelph,Jeffrey Swackhammer,People's Party - PPC,498
35033,Guelph,Michael Wassilyn,Independent,117
35033,Guelph,Yurii Yavorskyi,Canadian Future Party,62
35034,Haldimand--Norfolk,Colin Walsh,Liberal,26040
35034,Haldimand--Norfolk,Henry Geissler,People's Party - PPC,657
35034,Haldimand--Norfolk,Leslyn Lewis,Conservative,41218
35034,Haldimand--Norfolk,Lily Eggink,Christian Heritage Party,529
35034,Haldimand--Norfolk,Nathan Hawkins,Green Party,750
35034,Haldimand--Norfolk,Shannon Horner-Shepherd,NDP-New Democratic Party,2412
35035,Haliburton--Kawartha Lakes,Alyea Teel,NDP-New Democratic Party,2625
35035,Haliburton--Kawartha Lakes,Jamie Schmale,Conservative,42701
35035,Haliburton--Kawartha Lakes,Michael Penman,People's Party - PPC,954
35035,Haliburton--Kawartha Lakes,Nell Thomas,Liberal,29223
35036,Hamilton Centre,Aslam Rana,Liberal,21388
35036,Hamilton Centre,Carla Green,No Affiliation,215
35036,Hamilton Centre,Cody Chenier,Parti Rhinocéros Party,190
35036,Hamilton Centre,David Speicher,People's Party - PPC,591
35036,Hamilton Centre,Hayden Lawrence,Conservative,17079
35036,Hamilton Centre,Matthew Green,NDP-New Democratic Party,16581
35036,Hamilton Centre,Michael Loomans,No Affiliation,90
35036,Hamilton Centre,Sandy Crawley,Green Party,818
35037,Hamilton East--Stoney Creek,Chad Collins,Liberal,31378
35037,Hamilton East--Stoney Creek,Jim Boutsikakis,People's Party - PPC,762
35037,Hamilton East--Stoney Creek,Nayla Mithani,NDP-New Democratic Party,2471
35037,Hamilton East--Stoney Creek,Ned Kuruc,Conservative,32857
35038,Hamilton Mountain,Bing Wong,People's Party - PPC,497
35038,Hamilton Mountain,Ken Hewitt,Conservative,24857
35038,Hamilton Mountain,Lisa Hepfner,Liberal,27302
35038,Hamilton Mountain,Monique Taylor,NDP-New Democratic Party,7044
35038,Hamilton Mountain,Rolf Gerstenberger,Marxist-Leninist,193
35039,Hamilton West--Ancaster--Dundas,Ava Sharavi,People's Party - PPC,307
35039,Hamilton West--Ancaster--Dundas,Erika Alexander,Conservative,25547
35039,Hamilton West--Ancaster--Dundas,Georgia Beauchemin,Green Party,829
35039,Hamilton West--Ancaster--Dundas,Jim Enos,Christian Heritage Party,163
35039,Hamilton West--Ancaster--Dundas,John-Paul Danko,Liberal,38970
35039,Hamilton West--Ancaster--Dundas,Roberto Henriquez,NDP-New Democratic Party,3648
35040,Hastings--Lennox and Addington--Tyendinaga,Ava Duffy,NDP-New Democratic Party,2351
35040,Hastings--Lennox and Addington--Tyendinaga,Michael Holbrook,Green Party,803
35040,Hastings--Lennox and Addington--Tyendinaga,Shelby Kramp-Neuman,Conservative,36005
35040,Hastings--Lennox and Addington--Tyendinaga,Tracey Sweeney Schenk,Liberal,26745
35040,Hastings--Lennox and Addington--Tyendinaga,Zaid Yusufani,People's Party - PPC,377
35041,Humber River--Black Creek,Bijay Paudel,Conservative,13745
35041,Humber River--Black Creek,Jeanne McGuire,Communist,226
35041,Humber River--Black Creek,Judy Sgro,Liberal,21357
35041,Humber River--Black Creek,Marek Jasinski,People's Party - PPC,621
35041,Humber River--Black Creek,Matias de Dovitiis,NDP-New Democratic Party,2449
35042,Huron--Bruce,Ben Lobb,Conservative,37027
35042,Huron--Bruce,Caesar salad Pella,Independent,194
35042,Huron--Bruce,Gregory J McLean,Green Party,927
35042,Huron--Bruce,James Rice,Liberal,28936
35042,Huron--Bruce,Justin L Smith,Independent,273
35042,Huron--Bruce,Melanie Burrett,NDP-New Democratic Party,2300
35043,Kanata,Greg Kung,Conservative,26557
35043,Kanata,Jenna Sudds,Liberal,45244
35043,Kanata,Jennifer Purdy,Green Party,835
35043,Kanata,Melissa Simon,NDP-New Democratic Party,1702
35043,Kanata,Moinuddin Siddiqui,Centrist,122
35044,Kapuskasing--Timmins--Mushkegowuk,Gaétan Malette,Conservative,23062
35044,Kapuskasing--Timmins--Mushkegowuk,Nicole Fortier Levesque,NDP-New Democratic Party,4895
35044,Kapuskasing--Timmins--Mushkegowuk,Serge Lefebvre,People's Party - PPC,814
35044,Kapuskasing--Timmins--Mushkegowuk,Steve Black,Liberal,18366
35045,Kenora--Kiiwetinoong,Bryce Desjarlais,People's Party - PPC,204
35045,Kenora--Kiiwetinoong,Charles Fox,Liberal,9454
35045,Kenora--Kiiwetinoong,Eric Melillo,Conservative,13109
35045,Kenora--Kiiwetinoong,Jon Hobbs,Green Party,286
35045,Kenora--Kiiwetinoong,Kelvin Boucher-Chicago,Independent,141
35045,Kenora--Kiiwetinoong,Tania Cameron,NDP-New Democratic Party,3698
35046,Kingston and the Islands,Bryan Paterson,Conservative,23592
35046,Kingston and the Islands,Daria Juüdi-Hope,NDP-New Democratic Party,3648
35046,Kingston and the Islands,Fintan Hartnett,Green Party,1071
35046,Kingston and the Islands,Mark Gerretsen,Liberal,48682
35047,King--Vaughan,Ann Raney,Green Party,576
35047,King--Vaughan,Anna Roberts,Conservative,41682
35047,King--Vaughan,Mubarak Ahmed,Liberal,24352
35047,King--Vaughan,Samantha Sanchez,NDP-New Democratic Party,769
35047,King--Vaughan,Vageesh Sabharwal,People's Party - PPC,368
35048,Kitchener Centre,Brian Adeba,Liberal,17292
35048,Kitchener Centre,Ellen Papenburg,Animal Protection Party,111
35048,Kitchener Centre,Heather Zaleski,NDP-New Democratic Party,1157
35048,Kitchener Centre,Kelly DeRidder,Conservative,20234
35048,Kitchener Centre,Margaretha Dyck,United Party of Canada (UP),97
35048,Kitchener Centre,Mike Morrice,Green Party,19859
35048,Kitchener Centre,Wasai Rahimi,People's Party - PPC,334
35049,Kitchener--Conestoga,Doug Treleaven,Conservative,29479
35049,Kitchener--Conestoga,Kevin Dupuis,People's Party - PPC,786
35049,Kitchener--Conestoga,Maya Bozorgzad,NDP-New Democratic Party,1821
35049,Kitchener--Conestoga,Tim Louis,Liberal,30001
35050,Kitchener South--Hespeler,Ethan Russell,Green Party,1208
35050,Kitchener South--Hespeler,Kathleen Dueck,United Party of Canada (UP),96
35050,Kitchener South--Hespeler,Lorne Bruce,NDP-New Democratic Party,1823
35050,Kitchener South--Hespeler,Matt Strauss,Conservative,28973
35050,Kitchener South--Hespeler,Randall Williams,People's Party - PPC,386
35050,Kitchener South--Hespeler,Valerie Bradford,Liberal,27945
35051,Lanark--Frontenac,Danielle Rae,NDP-New Democratic Party,1986
35051,Lanark--Frontenac,Jesse Pauley,Green Party,741
35051,Lanark--Frontenac,Michelle Foxton,Liberal,30900
35051,Lanark--Frontenac,Scott Reid,Conservative,34186
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Hailey Simpson,People's Party - PPC,596
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Lorna Jean Edmonds,Liberal,29656
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Michael Barrett,Conservative,33437
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Paul Lancione,NDP-New Democratic Party,2341
35052,Leeds--Grenville--Thousand Islands--Rideau Lakes,Randi Ramdeen,Green Party,781
35053,London Centre,Bruce Lamb,Canadian Future Party,100
35053,London Centre,David Annis,People's Party - PPC,523
35053,London Centre,Dirka Prout,NDP-New Democratic Party,5790
35053,London Centre,Mary Ann Hodge,Green Party,878
35053,London Centre,Peter Fragiskatos,Liberal,33999
35053,London Centre,Stephen Gallant,Conservative,18633
35054,London--Fanshawe,Daniel Buta,People's Party - PPC,776
35054,London--Fanshawe,Kurt Holman,Conservative,23749
35054,London--Fanshawe,Lindsay Mathyssen,NDP-New Democratic Party,16135
35054,London--Fanshawe,Najam Naqvi,Liberal,17863
35055,London West,Adam Benni,Conservative,23239
35055,London West,Arielle Kayabaga,Liberal,35309
35055,London West,Christine Oliver,United Party of Canada (UP),185
35055,London West,Jeff Vanderzwet,Green Party,427
35055,London West,Russell Benner,Canadian Future Party,185
35055,London West,Shinade Allder,NDP-New Democratic Party,3463
35056,Markham--Stouffville,Helena Jaczek,Liberal,31658
35056,Markham--Stouffville,Myles O'Brien,Green Party,433
35056,Markham--Stouffville,Niran Jeyanesan,Conservative,27898
35056,Markham--Stouffville,René de Vries,People's Party - PPC,393
35056,Markham--Stouffville,Serena Cheung,NDP-New Democratic Party,1121
35056,Markham--Stouffville,Shahzad Ahmed,Centrist,141
35057,Markham--Thornhill,Aftab Qureshi,NDP-New Democratic Party,1022
35057,Markham--Thornhill,Haider Qureshi,Centrist,153
35057,Markham--Thornhill,Lionel Loganathan,Conservative,21003
35057,Markham--Thornhill,Mimi Lee,People's Party - PPC,747
35057,Markham--Thornhill,Tim Hodgson,Liberal,27504
35058,Markham--Unionville,Elvin Kao,Green Party,503
35058,Markham--Unionville,Michael Ma,Conservative,27055
35058,Markham--Unionville,Peter Yuen,Liberal,25133
35058,Markham--Unionville,Sameer Qureshi,NDP-New Democratic Party,723
35059,Middlesex--London,Cynthia Workman,People's Party - PPC,577
35059,Middlesex--London,Jim Johnston,Green Party,698
35059,Middlesex--London,Kent Keenan,Liberal,29400
35059,Middlesex--London,Lianne Rood,Conservative,36093
35059,Middlesex--London,Shawn Cartlidge,United Party of Canada (UP),191
35059,Middlesex--London,Taylor McIntosh,NDP-New Democratic Party,2888
35060,Milton East--Halton Hills South,Kristina Tesser Derksen,Liberal,32178
35060,Milton East--Halton Hills South,Muhammad Riaz Sahi,NDP-New Democratic Party,1029
35060,Milton East--Halton Hills South,Parm Gill,Conservative,32157
35060,Milton East--Halton Hills South,Shahbaz Mahmood Khan,Independent,174
35060,Milton East--Halton Hills South,Susan Doyle,Green Party,672
35060,Milton East--Halton Hills South,Walter J. Hofman,People's Party - PPC,475
35061,Mississauga Centre,Brandon Nguyen,NDP-New Democratic Party,1502
35061,Mississauga Centre,Fares Al Soud,Liberal,29605
35061,Mississauga Centre,Gurdeep Wolosz,People's Party - PPC,602
35061,Mississauga Centre,Muhammad Ishaq,Conservative,23010
35061,Mississauga Centre,Zulfiqar Ali,Independent,257
35062,Mississauga East--Cooksville,Amit Gupta,People's Party - PPC,964
35062,Mississauga East--Cooksville,Dagmar Sullivan,Marxist-Leninist,113
35062,Mississauga East--Cooksville,Khawar Hussain,NDP-New Democratic Party,1508
35062,Mississauga East--Cooksville,Nita Kang,Conservative,24112
35062,Mississauga East--Cooksville,Peter Fonseca,Liberal,27138
35062,Mississauga East--Cooksville,Winston Harding,Independent,221
35063,Mississauga--Erin Mills,Ehab Mustapha,NDP-New Democratic Party,1311
35063,Mississauga--Erin Mills,Iqra Khalid,Liberal,33448
35063,Mississauga--Erin Mills,Michael Bayer,People's Party - PPC,734
35063,Mississauga--Erin Mills,Michael Matulewicz,Independent,179
35063,Mississauga--Erin Mills,Milad Mikael,Conservative,24000
35063,Mississauga--Erin Mills,Sulaiman Khan,Green Party,367
35064,Mississauga--Lakeshore,Anna Di Carlo,Marxist-Leninist,113
35064,Mississauga--Lakeshore,Carlton Darby,Independent,122
35064,Mississauga--Lakeshore,Charles Sousa,Liberal,34971
35064,Mississauga--Lakeshore,Evelyn Butler,NDP-New Democratic Party,1254
35064,Mississauga--Lakeshore,Fahad Rao,People's Party - PPC,334
35064,Mississauga--Lakeshore,Mary Kidnew,Green Party,587
35064,Mississauga--Lakeshore,Tom Ellard,Conservative,29416
35065,Mississauga--Malton,Inderjeetsingh Ailsinghani,NDP-New Democratic Party,1290
35065,Mississauga--Malton,Iqwinder Singh Gaheer,Liberal,26793
35065,Mississauga--Malton,Jaspreet Sandhu,Conservative,21202
35065,Mississauga--Malton,Nathan Quinlan,People's Party - PPC,983
35066,Mississauga--Streetsville,Bushra Asghar,NDP-New Democratic Party,1388
35066,Mississauga--Streetsville,Chris Hill,Green Party,439
35066,Mississauga--Streetsville,Logan Araujo,People's Party - PPC,366
35066,Mississauga--Streetsville,Rechie Valdez,Liberal,31297
35066,Mississauga--Streetsville,Sue McFadden,Conservative,27241
35067,Nepean,Barbara Bal,Conservative,24017
35067,Nepean,Eric Fleury,People's Party - PPC,261
35067,Nepean,Greg Hopkins,Green Party,462
35067,Nepean,Mark Carney,Liberal,46073
35067,Nepean,Shyam Shukla,NDP-New Democratic Party,1424
35068,Newmarket--Aurora,Anna Gollen,NDP-New Democratic Party,1473
35068,Newmarket--Aurora,Jennifer McLachlan,Liberal,29299
35068,Newmarket--Aurora,Sandra Cobena,Conservative,31540
35069,New Tecumseth--Gwillimbury,Callum McKinnon,Green Party,712
35069,New Tecumseth--Gwillimbury,Mike Hanrahan,Liberal,24444
35069,New Tecumseth--Gwillimbury,Nancy Morrison,NDP-New Democratic Party,1226
35069,New Tecumseth--Gwillimbury,Paul Montague,People's Party - PPC,496
35069,New Tecumseth--Gwillimbury,Scot Davidson,Conservative,39247
35070,Niagara Falls--Niagara-on-the-Lake,Andrea Kaiser,Liberal,27199
35070,Niagara Falls--Niagara-on-the-Lake,Celia Taylor,Green Party,518
35070,Niagara Falls--Niagara-on-the-Lake,Daniel Shakhmundes,Libertarian,160
35070,Niagara Falls--Niagara-on-the-Lake,Dinah Althorpe,People's Party - PPC,481
35070,Niagara Falls--Niagara-on-the-Lake,Shannon Mitchell,NDP-New Democratic Party,2335
35070,Niagara Falls--Niagara-on-the-Lake,Tony Baldinelli,Conservative,29774
35070,Niagara Falls--Niagara-on-the-Lake,Yawar Anwar,Centrist,128
35071,Niagara South,Chantal McCollum,NDP-New Democratic Party,4307
35071,Niagara South,David Vedova,Christian Heritage Party,216
35071,Niagara South,Fred Davies,Conservative,36702
35071,Niagara South,Natashia Bergen,Green Party,683
35071,Niagara South,Peter Taras,People's Party - PPC,1147
35071,Niagara South,Vance Badawey,Liberal,33708
35072,Niagara West,Dave Bylsma,Christian Heritage Party,727
35072,Niagara West,Dean Allison,Conservative,36418
35072,Niagara West,Jennifer Korstanje,Liberal,30424
35072,Niagara West,Justin Abando,NDP-New Democratic Party,2262
35072,Niagara West,Ryan Anderson,People's Party - PPC,582
35073,Nipissing--Timiskaming,Garry Keller,Conservative,26121
35073,Nipissing--Timiskaming,John Janssen,People's Party - PPC,648
35073,Nipissing--Timiskaming,Louise Poitras,Green Party,585
35073,Nipissing--Timiskaming,Pauline Rochefort,Liberal,27674
35073,Nipissing--Timiskaming,Valerie Kennedy,NDP-New Democratic Party,3548
35074,Northumberland--Clarke,Ava Becker,NDP-New Democratic Party,2090
35074,Northumberland--Clarke,Christina Marie Wilson,Green Party,630
35074,Northumberland--Clarke,Jody Ledgerwood,Independent,270
35074,Northumberland--Clarke,John Goheen,Liberal,32648
35074,Northumberland--Clarke,John Wesselius,Christian Heritage Party,171
35074,Northumberland--Clarke,Lisa Bradburn,People's Party - PPC,521
35074,Northumberland--Clarke,Philip Lawrence,Conservative,34862
35075,Oakville East,Alicia Bedford,United Party of Canada (UP),59
35075,Oakville East,Anita Anand,Liberal,31128
35075,Oakville East,Bruno Sousa,Green Party,351
35075,Oakville East,Hailey Ford,NDP-New Democratic Party,1698
35075,Oakville East,Henry Karabela,People's Party - PPC,335
35075,Oakville East,Ron Chhinzer,Conservative,27301
35076,Oakville West,Chris Kowalchuk,Green Party,363
35076,Oakville West,Diane Downey,NDP-New Democratic Party,831
35076,Oakville West,JD Meaney,People's Party - PPC,254
35076,Oakville West,Martin Gegus,Independent,55
35076,Oakville West,Sima Acan,Liberal,31872
35076,Oakville West,Tim Crowder,Conservative,26668
35077,Orléans,Arabella Vida,Independent,76
35077,Orléans,Arlo Arrowsmith,Libertarian,301
35077,Orléans,Jaycob Jacques,Green Party,652
35077,Orléans,Marie-France Lalonde,Liberal,53146
35077,Orléans,Mazhar Choudhry,Independent,162
35077,Orléans,Oulai B. Goué,NDP-New Democratic Party,2063
35077,Orléans,Steve Mansour,Conservative,22072
35077,Orléans,Tafiqul Abu Mohammad,People's Party - PPC,331
35078,Oshawa,Isaac Ransom,Liberal,28653
35078,Oshawa,Katherine Mathewson,Green Party,804
35078,Oshawa,Rhonda Kirkland,Conservative,32131
35078,Oshawa,Sara Labelle,NDP-New Democratic Party,5112
35079,Ottawa Centre,Amanda Rosenstock,Green Party,916
35079,Ottawa Centre,Andrea Chabot,Canadian Future Party,268
35079,Ottawa Centre,Cashton Perry,Communist,154
35079,Ottawa Centre,Joel Harden,NDP-New Democratic Party,15935
35079,Ottawa Centre,Marie-Chantal Leriche,Christian Heritage Party,234
35079,Ottawa Centre,Mike Salmon,Independent,66
35079,Ottawa Centre,Paul D'Orsonnens,Conservative,12692
35079,Ottawa Centre,Yasir Naqvi,Liberal,51026
35079,Ottawa Centre,Zed Chebib,Independent,47
35080,Ottawa South,Alex Perrier,Christian Heritage Party,259
35080,Ottawa South,Blair Turner,Conservative,18010
35080,Ottawa South,David McGuinty,Liberal,43388
35080,Ottawa South,Hena Masjedee,NDP-New Democratic Party,4017
35080,Ottawa South,John Redins,Canadian Future Party,93
35080,Ottawa South,Nira Dookeran,Green Party,642
35080,Ottawa South,William Cooper,Parti Rhinocéros Party,155
35081,Ottawa--Vanier--Gloucester,Christian Legeais,Marxist-Leninist,182
35081,Ottawa--Vanier--Gloucester,Christian Proulx,Green Party,1345
35081,Ottawa--Vanier--Gloucester,Coreen Corcoran,Libertarian,338
35081,Ottawa--Vanier--Gloucester,Dean Wythe,Conservative,14633
35081,Ottawa--Vanier--Gloucester,Elizabeth Benoit,Independent,238
35081,Ottawa--Vanier--Gloucester,Marty Simms,People's Party - PPC,349
35081,Ottawa--Vanier--Gloucester,Mona Fortier,Liberal,45934
35081,Ottawa--Vanier--Gloucester,Tristan Oliff,NDP-New Democratic Party,5164
35082,Ottawa West--Nepean,Anita Vandenbeld,Liberal,43555
35082,Ottawa West--Nepean,Glen Armstrong,People's Party - PPC,514
35082,Ottawa West--Nepean,Josh Bizjak,NDP-New Democratic Party,4847
35082,Ottawa West--Nepean,Prashanta Dhakal,Green Party,780
35082,Ottawa West--Nepean,Ryan Telford,Conservative,18517
35082,Ottawa West--Nepean,Sean Mulligan,Christian Heritage Party,232
35083,Oxford,Akshay Varun Raj Vardhan,Independent,109
35083,Oxford,Arpan Khanna,Conservative,38191
35083,Oxford,Cheryle Baker,Green Party,897
35083,Oxford,David Hilderley,Liberal,27311
35083,Oxford,Jacob Watson,Christian Heritage Party,1203
35083,Oxford,Matthew Chambers,NDP-New Democratic Party,3046
35083,Oxford,Melanie Van Brugge,United Party of Canada (UP),152
35083,Oxford,Steven Beausoleil,People's Party - PPC,642
35084,Parry Sound--Muskoka,Geordie Sabbagh,Liberal,27563
35084,Parry Sound--Muskoka,Heather Hay,NDP-New Democratic Party,2300
35084,Parry Sound--Muskoka,Isabel Pereira,People's Party - PPC,1048
35084,Parry Sound--Muskoka,Scott Aitchison,Conservative,33742
35085,Perth--Wellington,David Mackey,Liberal,26142
35085,Perth--Wellington,John Nater,Conservative,33972
35085,Perth--Wellington,Kevin Kruchkywich,NDP-New Democratic Party,2909
35085,Perth--Wellington,Wayne Baker,People's Party - PPC,1069
35086,Peterborough,Chad Jewell,Independent,222
35086,Peterborough,Emma Harrison,Liberal,42890
35086,Peterborough,Heather Ray,NDP-New Democratic Party,2406
35086,Peterborough,Jami-Leigh McMaster,People's Party - PPC,272
35086,Peterborough,Jazmine Raine,Green Party,655
35086,Peterborough,Matthew Grove,Christian Heritage Party,168
35086,Peterborough,Michelle Ferreri,Conservative,32446
35087,Pickering--Brooklin,Alicia Vianga,Conservative,29320
35087,Pickering--Brooklin,Andrea Wood,Green Party,535
35087,Pickering--Brooklin,Jamie Nye,NDP-New Democratic Party,1838
35087,Pickering--Brooklin,Juanita Nathan,Liberal,38578
35087,Pickering--Brooklin,Lisa Robinson,People's Party - PPC,639
35087,Pickering--Brooklin,Zainab Rana,Centrist,322
35088,Prescott--Russell--Cumberland,Deborah Perrier,People's Party - PPC,725
35088,Prescott--Russell--Cumberland,Giovanna Mingarelli,Liberal,39110
35088,Prescott--Russell--Cumberland,Jason St-Louis,Independent,236
35088,Prescott--Russell--Cumberland,Julie Séguin,Conservative,28805
35088,Prescott--Russell--Cumberland,Ryder Finlay,NDP-New Democratic Party,1730
35088,Prescott--Russell--Cumberland,Thaila Riden,Green Party,787
35089,Richmond Hill South,Alison Lam,Green Party,495
35089,Richmond Hill South,Ebrahim Astaraki,NDP-New Democratic Party,1054
35089,Richmond Hill South,Joshua Sideris,People's Party - PPC,244
35089,Richmond Hill South,Juni Yeung,Canadian Future Party,43
35089,Richmond Hill South,Majid Jowhari,Liberal,26009
35089,Richmond Hill South,Vincent Ho,Conservative,30615
35089,Richmond Hill South,Yan Wang,Independent,124
35090,Sarnia--Lambton--Bkejwanong,Brian Everaert,People's Party - PPC,1136
35090,Sarnia--Lambton--Bkejwanong,George Vandenberg,Liberal,28940
35090,Sarnia--Lambton--Bkejwanong,Jacques Y Boudreau,Libertarian,990
35090,Sarnia--Lambton--Bkejwanong,Lo-Anne Chan,NDP-New Democratic Party,4088
35090,Sarnia--Lambton--Bkejwanong,Marilyn Gladu,Conservative,40597
35090,Sarnia--Lambton--Bkejwanong,Mark Lamore,Christian Heritage Party,437
35090,Sarnia--Lambton--Bkejwanong,Tony Mitchell,Parti Rhinocéros Party,201
35091,Sault Ste. Marie--Algoma,Hugh Stevenson,Conservative,29208
35091,Sault Ste. Marie--Algoma,James Collins,Christian Heritage Party,305
35091,Sault Ste. Marie--Algoma,Laura Mayer,NDP-New Democratic Party,4327
35091,Sault Ste. Marie--Algoma,Robyn Kiki Eshkibok,Green Party,541
35091,Sault Ste. Marie--Algoma,Terry Sheehan,Liberal,30936
35092,Scarborough--Agincourt,Aris Movsessian,Conservative,21732
35092,Scarborough--Agincourt,Dan Lovell,NDP-New Democratic Party,1449
35092,Scarborough--Agincourt,Jean Yip,Liberal,27552
35093,Scarborough Centre--Don Valley East,Alyson Koa,NDP-New Democratic Party,1565
35093,Scarborough Centre--Don Valley East,Belent Mathew,Conservative,18307
35093,Scarborough Centre--Don Valley East,Peter Koubakis,People's Party - PPC,659
35093,Scarborough Centre--Don Valley East,Salma Zahid,Liberal,27557
35094,Scarborough--Guildwood--Rouge Park,Gary Anandasangaree,Liberal,35295
35094,Scarborough--Guildwood--Rouge Park,Kingsley Kwok,NDP-New Democratic Party,1772
35094,Scarborough--Guildwood--Rouge Park,Suchita Jalan,Conservative,17485
35094,Scarborough--Guildwood--Rouge Park,Troy Rife,Green Party,633
35095,Scarborough North,Gurmit Sandhu,Conservative,15487
35095,Scarborough North,Karishma Manji,NDP-New Democratic Party,1827
35095,Scarborough North,Shaun Chen,Liberal,29418
35096,Scarborough Southwest,Amanda Cain,Green Party,754
35096,Scarborough Southwest,Asm Tarun,Conservative,16652
35096,Scarborough Southwest,Bill Blair,Liberal,33495
35096,Scarborough Southwest,Christine Nugent,Marxist-Leninist,113
