Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
13006,Miramichi--Grand Lake,Mike Dawson,Conservative,18421
13007,Moncton--Dieppe,Ginette Petitpas Taylor,Liberal,30215
13007,Moncton--Dieppe,Jocelyn Dionne,Conservative,14974
13007,Moncton--Dieppe,Marshall Dunn,Green Party,994
13007,Moncton--Dieppe,Serge Landry,NDP-New Democratic Party,1775
13008,Saint John--Kennebecasis,Armand Cormier,NDP-New Democratic Party,1206
13008,Saint John--Kennebecasis,Austin Venedam,Libertarian,108
13008,Saint John--Kennebecasis,David MacFarquhar,Green Party,737
13008,Saint John--Kennebecasis,Melissa Young,Conservative,16787
13008,Saint John--Kennebecasis,Wayne Long,Liberal,26129
13009,Saint John--St. Croix,Andrew Hill,NDP-New Democratic Party,1643
13009,Saint John--St. Croix,Gerald Irish,Green Party,794
13009,Saint John--St. Croix,John Williamson,Conservative,26591
13009,Saint John--St. Croix,Karen Ludwig,Liberal,20784
13009,Saint John--St. Croix,Keith Tays,Libertarian,280
13010,Tobique--Mactaquac,Julian Moulton,Liberal,14226
13010,Tobique--Mactaquac,Liam MacDougall,Green Party,806
13010,Tobique--Mactaquac,Michael John Winter,NDP-New Democratic Party,812
13010,Tobique--Mactaquac,Richard Bragdon,Conservative,23322
13010,Tobique--Mactaquac,Vern Brundle,People's Party - PPC,501
24001,Abitibi--Baie-James--Nunavik--Eeyou,Mandy Gull-Masty,Liberal,12578
24001,Abitibi--Baie-James--Nunavik--Eeyou,Steve Corriveau,Conservative,6850
24001,Abitibi--Baie-James--Nunavik--Eeyou,Sylvie Bérubé,Bloc Québécois,10381
24001,Abitibi--Baie-James--Nunavik--Eeyou,Thai Dillon Higashihara,NDP-New Democratic Party,752
24002,Abitibi--Témiscamingue,Jonathan Andresen,Liberal,13551
24002,Abitibi--Témiscamingue,Jérémie Juneau,NDP-New Democratic Party,1480
24002,Abitibi--Témiscamingue,Steve Tardif,Conservative,9861
24002,Abitibi--Témiscamingue,Sébastien Lemire,Bloc Québécois,24774
